name,taxid,general_classification,alternative_names,pathogenic_sites,commensal_sites,status,high_consequence,pathology,host_organism,kingdom,phylum,class,order,family,genus,mol_type,reference,Additional references,assembly_accession,request_type
Streptococcus agalactiae,1311,primary,,blood,,established,FALSE,"altered mental status, chills, fevers",human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001552035.1,APL-derived
Yersinia pestis,632,primary,,blood,,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000834235.1,APL-derived
Shigella dysenteriae,622,primary,,stool,,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_022354085.1,APL-derived
Bacillus licheniformis,1402,opportunistic,,blood,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_034478925.1,APL-derived
Clostridium perfringens,1502,primary,,"blood, stool",,established,FALSE,,"human, bovine, canine, equine, ovine, porcine",Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_016027375.1,APL-derived
Pasteurella multocida,747,opportunistic,,"blood, skin",,established,FALSE,,"human, bovine, feline",Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_002073255.2,APL-derived
Brevibacillus brevis,1393,potential,,blood,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900637055.1,APL-derived
Clostridium novyi,1542,primary,,blood,,established,FALSE,gas gangrene,human,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_003614235.1,APL-derived
Corynebacterium kutscheri,35755,opportunistic,,"blood, skin",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000980835.1,APL-derived
Cutibacterium acnes,1747,commensal,,blood,skin,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001281065.1,APL-derived
Erysipelothrix rhusiopathiae,1648,opportunistic,,"blood, skin",,established,FALSE,,human,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001602155.1,APL-derived
Moraxella lacunata,477,potential,,"abscess, eye",,established,FALSE,conjunctivitis,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_029991695.1,APL-derived
Aeromonas hydrophila,644,opportunistic,,"blood, gut",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000940915.1,APL-derived
Bacillus pumilus,1408,potential,,,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001578205.1,APL-derived
Corynebacterium striatum,43770,opportunistic,,"blood, resp, skin",nasal,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_016728105.1,APL-derived
Fusobacterium mortiferum,850,primary,,blood,,established,FALSE,,human,Fusobacteriati,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_003438345.1,APL-derived
Neisseria meningitidis,487,primary,,"blood, resp, oral",nasal,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_022869645.1,APL-derived
Bacillus aerius,293388,potential,,resp,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_029894105.1,APL-derived
Gordonia rubripertincta,36822,opportunistic,,blood,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_014070455.1,APL-derived
Paenibacillus macerans,44252,opportunistic,,blood,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900454495.1,APL-derived
Peptostreptococcus anaerobius,1261,opportunistic,,"blood, urine",gut,established,FALSE,,human,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_050780165.1,APL-derived
Treponema pallidum,160,primary,,blood,,established,FALSE,,human,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_009017435.1,APL-derived
Borrelia duttonii CR2A,1432657,potential,,blood,,established,FALSE,relapsing fever,human,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000523535.1,APL-derived
Enterococcus faecalis,1351,opportunistic,,"blood, urine","oral, gut",established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001598635.1,APL-derived
Neisseria cinerea,483,commensal,,blood,oral,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900475315.1,APL-derived
Streptococcus anginosus,1328,opportunistic,,"abscess, blood","oral, nasal, stool",established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900636475.1,APL-derived
Streptococcus mitis,28037,opportunistic,,blood,oral,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001281025.1,APL-derived
Streptococcus salivarius,1304,opportunistic,,blood,oral,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000448685.2,APL-derived
Leptospira interrogans,173,primary,,blood,,established,FALSE,,human,Pseudomonadati,Spirochaetota,Leptospiria,Leptospirales,Leptospiraceae,Leptospira,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_002370085.3,APL-derived
Clostridium sporogenes,1509,commensal,,blood,gut,established,FALSE,,human,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000973705.1,APL-derived
Neisseria sicca,490,commensal,,blood,oral,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_017753665.1,APL-derived
Staphylococcus epidermidis,1282,commensal,,blood,skin,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_006094375.1,APL-derived
Nocardia brasiliensis,37326,opportunistic,,"abscess, blood, skin",,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_002209125.2,APL-derived
Actinobacillus lignieresii,720,potential,,"abscess, blood",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900444945.1,APL-derived
Acinetobacter calcoaceticus,471,potential,,blood,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900444805.1,APL-derived
Corynebacterium pseudotuberculosis,1719,opportunistic,,blood,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_002155265.1,APL-derived
Bacteroides thetaiotaomicron,818,opportunistic,,"abscess, blood",gut,established,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_014131755.1,APL-derived
Bordetella bronchiseptica,518,opportunistic,,resp,,established,FALSE,,"human, canine, swine",Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900636925.1,APL-derived
Francisella tularensis,263,primary,,blood,,established,TRUE,,"human, all",Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001611815.4,APL-derived
Francisella tularensis subsp. tularensis,119856,primary,,blood,,established,TRUE,,"human, all",Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,dna,,,GCF_000833475.1,APL-derived
Francisella tularensis subsp. holarctica,119857,primary,,blood,,established,TRUE,,"human, all",Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,dna,,,GCF_000833235.1,APL-derived
Francisella tularensis subsp. novicida,264,primary,,blood,,established,TRUE,,"human, all",Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,dna,,,GCF_000834965.1,APL-derived
Bartonella bacilliformis,774,primary,,blood,,established,FALSE,"oroya fever, verruga peruana",human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001559035.2,APL-derived
Borrelia persica No12,1417230,primary,,blood,,established,FALSE,,human,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000500045.1,APL-derived
Burkholderia pseudomallei,28450,primary,,"abscess, blood",,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_030297255.1,APL-derived
Bacillus thuringiensis,1428,potential,,blood,,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9716716/,GCF_000832485.1,APL-derived
Clostridium fallax,1533,potential,,blood,,established,FALSE,,human,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900129365.1,APL-derived
Dermatophilus congolensis,1863,potential,,skin,,established,FALSE,,human,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Dermatophilaceae,Dermatophilus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900187045.1,APL-derived
Hathewaya histolytica,1498,primary,,"abscess, blood",,established,FALSE,gas gangrene,human,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Hathewaya,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_901482605.1,APL-derived
Moraxella nonliquefaciens,478,commensal,,blood,resp,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_016028775.1,APL-derived
Rickettsia prowazekii,782,primary,,blood,,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001602215.1,APL-derived
Bartonella quintana,803,primary,,"blood, skin",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_009936175.1,APL-derived
Borrelia crocidurae,29520,primary,,blood,,established,FALSE,tick-borne relapsing fever,human,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000825665.2,APL-derived
Clostridium tertium,1559,commensal,,blood,gut,established,FALSE,"bacteremia, fever, abdominal pain, ",human,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_039521505.1,APL-derived
Actinobacillus equuli,718,opportunistic,,blood,,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900636745.1,APL-derived
Providencia rettgeri,587,opportunistic,,"blood, urine",gut,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_019048105.1,APL-derived
Campylobacter fetus,196,opportunistic,,"blood, stool",,established,FALSE,,human,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_011600945.2,APL-derived
Enterococcus faecium,1352,commensal,,blood,gut,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_009734005.1,APL-derived
Morganella morganii,582,opportunistic,,"blood, urine",gut,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000783955.2,APL-derived
Rickettsia rickettsii,783,primary,,blood,,established,TRUE,,"human, canine",Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001950995.1,APL-derived
Serratia proteamaculans,28151,opportunistic,,"blood, resp",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_949794035.1,APL-derived
Shigella flexneri,623,primary,,"blood, gut",,established,TRUE,shigellosis,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_000783735.2,APL-derived
Streptococcus ovuberis,1936207,primary,,"blood, gut, urine",,established,FALSE,,human,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_012396585.1,APL-derived
Orientia tsutsugamushi,784,primary,,"blood, skin",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900327255.1,APL-derived
Rickettsia typhi,785,primary,,blood,,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_900536895.1,APL-derived
Shigella sonnei,624,primary,,"blood, gut",,established,TRUE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_002950395.1,APL-derived
Borrelia venezuelensis,1653839,potential,,blood,,established,FALSE,,human,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_023035835.1,APL-derived
[Haemophilus] ducreyi,730,opportunistic,,"blood, skin",,established,FALSE,,human,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_001647695.1,APL-derived
Prevotella melaninogenica,28132,commensal,,oral,oral,established,FALSE,,human,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dna,"Taylor, Louise H., Sophia M. Latham, and Mark EJ Woolhouse. ""Risk factors for human disease emergence.""�Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences�356.1411 (2001): 983-989.",,GCF_002208725.2,APL-derived
